imp,feature
-0.00010313178498421302,222168_0
-1.93394619049933e-05,223258_0
0.00035693202093203965,225158_0
2.07645408854e-06,225942_0
-4.539064716220472e-05,225943_0
-0.0007070762049283108,220949_0
7.19390329313172e-06,225152_0
3.349570100517853e-05,221906_0
-0.00022026915362258464,225159_0
-5.9067177077315175e-05,225823_0
-0.00012553111568476175,225828_0
-0.0008903783321076898,225168_0
-0.00019941154292837772,225825_0
0.00010242301624781359,221668_0
-8.25805628516781e-05,220950_0
2.6120385389539806e-06,229624_0
1.22228876591804e-05,229640_0
2.6048565957069935e-07,221289_0
-0.00041684609064642175,220864_0
8.082320688563678e-05,221749_0
-1.7262670854657688e-06,226089_0
3.2127042698013086e-05,221662_0
-3.574148445428579e-05,225910_0
1.6676721492039216e-05,221794_0
1.0363855142209135e-05,221986_0
0.00018442794110697282,221347_0
-4.2534454936007906e-07,221744_0
-0.0004447483104824467,225945_0
-8.959811289112294e-05,227522_0
-0.00011574891054096994,227523_0
-9.66093841508294e-06,225153_0
-4.753961532353374e-05,229420_0
-8.940416062689799e-05,225155_0
-0.00010485942464616419,222056_0
0.0002937926120189518,228340_0
0.0007038119500338287,220970_0
-5.478993360853791e-05,225944_0
3.3406465768308516e-05,220862_0
-1.1943717403468622e-07,225830_0
8.00847749050656e-05,228339_0
2.7377950519461692e-05,229630_0
-6.262076539095195e-06,221555_0
0.00023448580969431178,225161_0
2.9825020132124893e-05,222042_0
8.260700382568714e-05,222315_0
-2.0031032574375236e-05,227532_0
0.00010396391384152759,225171_0
-3.0381349002314904e-06,221712_0
-0.0006815638388436931,221429_0
0.00013062910851856214,229654_0
1.92300540743283e-06,222051_0
3.0551695190944774e-05,225150_0
0.00014600443486030587,221653_0
0.0004599714272246588,225170_0
0.0003497534852156572,229597_0
1.0232558363275004e-05,221468_0
-5.8938999331755724e-05,228351_0
0.00018057201471436766,228315_0
-1.1710742837171704e-05,225148_0
-1.5848384005527773e-05,228135_0
-6.429025932899117e-07,227525_0
-0.0003177288572211115,227529_0
-3.890711991456507e-07,227536_0
3.2994130756961343e-06,225151_0
0.0005504684623700937,225916_0
-5.600713013617513e-06,228367_0
-6.169666819585117e-06,229233_0
-0.0007407569382305769,229057_0
-3.3627597273929622e-06,225147_0
-1.0461927287468021e-05,221319_0
1.1083616940798303e-07,225157_0
-1.0403636419604638e-05,227530_0
-0.00019104433718670154,225827_0
-4.697995507644968e-07,227520_0
-8.384855093789588e-05,228316_0
-3.3114342504687906e-07,229234_0
2.0715974961344958e-05,225941_0
-1.2233630760629153e-08,227692_0
0.00012212555659079431,225917_0
5.112610740689701e-08,222021_0
-1.9934741508186097e-05,222151_0
-1.337043291769175e-05,228359_0
-2.3776071207596224e-06,227531_0
-3.8711039693671136e-05,225931_0
2.452009313661614e-06,229011_0
-4.594346129836637e-06,229010_0
-1.465623488729759e-05,228140_0
-6.990646568668261e-06,229295_0
-6.97907633772674e-06,229013_0
-1.5525878759668786e-05,229009_0
-1.2905445837245725e-06,228363_0
-8.522867174608377e-07,229639_0
1.0253577673113161e-06,221833_0
-3.818488408435615e-08,222037_0
-1.701338803285838e-05,227695_0
-2.787846121746514e-05,225936_0
-5.9056972912050414e-05,229058_0
0.0001185259688637882,226880_0
-5.1877266193076274e-05,225920_0
4.004750571348552e-06,225154_0
-1.5527542922807093e-05,221036_0
-1.051483192086902e-09,229066_0
-1.7363726451439897e-07,221261_0
0.0,229297_0
0.0,229618_0
6.696580794992929e-06,222062_0
-2.2090059282357886e-05,227689_0
-2.5401843152767704e-05,229014_0
3.79335506651646e-05,227975_0
-9.915815540915218e-06,229632_0
-3.873084573645375e-06,225173_0
-7.901244619059975e-07,225928_0
-3.0408103120890707e-05,229012_0
-1.6338137399559658e-05,229062_0
-3.809223580192449e-07,227524_0
0.0,221689_0
0.0,225801_0
0.0,228350_0
0.0,221207_0
0.0,225930_0
0.0,221892_0
0.0,227979_0
0.0,227528_0
0.0,226027_0
0.0,225929_0
0.0,225935_0
0.0,225934_0
0.0,225915_0
0.0,225914_0
0.0,229296_0
0.0,228355_0
0.0,228341_0
0.0,221733_0
0.0,226038_0
0.0,227973_0
0.0,227534_0
0.0,229760_0
0.0,229764_0
0.0,226877_0
0.0,228383_0
0.0,229709_0
0.0,226030_0
0.0,225937_0
-4.728417629275772e-06,224277_0
3.4569379535452383e-06,225792_0
-9.170477640653753e-07,229351_0
-7.880718107752067e-06,224275_0
-2.4770209754333413e-06,225402_0
2.158262804803458e-07,225459_0
6.413370597474062e-06,224263_0
2.880355755809985e-06,224270_0
4.3672581327151464e-07,225432_0
-3.944095441815398e-06,225752_0
5.7100587989480344e-06,224274_0
8.788630829422508e-06,224264_0
1.737083184655487e-07,225315_0
-4.157941062370313e-06,224276_0
4.617997547991843e-07,229532_0
1.2483915293997513e-06,221217_0
1.3079822994152006e-06,225794_0
1.8344447385532775e-06,224272_0
-3.5993409708290883e-06,224560_0
8.542234672223776e-07,225789_0
4.034923272483558e-07,221216_0
-3.5421700354517607e-07,225400_0
1.2958268912387457e-08,225817_0
-9.398100496589217e-06,225469_0
5.950515853466827e-07,225966_0
-2.7631789291677593e-06,224267_0
2.4471984150605704e-06,224385_0
5.426329896023266e-09,221214_0
-2.6199176859623913e-07,224269_0
-4.4733000153253546e-07,223253_0
3.286506594112253e-06,225401_0
9.106175887800609e-07,225451_0
9.620861638145579e-07,225464_0
-5.0081255969813565e-08,225466_0
1.3281666819343508e-06,225202_0
-1.0650494114688183e-06,225441_0
-2.0350071615412873e-08,221255_0
-1.4542898304963627e-06,229581_0
2.1766343338885003e-07,228286_0
4.7234230453104826e-07,229516_0
-9.869247199836872e-08,229525_0
2.1073327816789804e-07,229614_0
-2.3156247837846941e-07,224268_0
1.7470793642724726e-06,225454_0
-1.5443135444047363e-07,225203_0
5.589098106680804e-07,221223_0
1.594949973243383e-06,228128_0
5.410804358335053e-07,229580_0
-5.27399537409398e-07,224566_0
-1.4464329590992193e-07,225816_0
5.165248172282264e-07,225470_0
-4.45341293541932e-08,225814_0
-7.938179823085797e-07,229526_0
-6.330061879862214e-07,228129_0
-1.1038148773330857e-06,227194_0
-1.579076736639452e-07,226477_0
1.8571697774793492e-06,225204_0
3.2865349610424164e-07,225457_0
4.666059514748078e-07,225439_0
2.54433110489346e-07,228130_0
-1.2478424137025379e-07,229380_0
2.8641711051930126e-09,225433_0
-1.752055345801792e-07,229579_0
2.6710134352987533e-07,225465_0
-8.646624914568274e-08,229366_0
1.3789261573140137e-07,225462_0
-2.6160073260140392e-08,225406_0
-3.502045290968851e-07,229468_0
