itemid,mean_frequency,missing_count,total_count
220045,98.62871075891496,748.0,1618004
220046,9.034014023865174,3.0,146875
220047,9.037640691309429,3.0,146943
220050,102.92270531400966,41.0,553930
220051,102.86868499257058,33.0,553845
220052,102.205109354898,236.0,556098
220056,8.179528117793152,23.0,46108
220058,8.187522218272306,5.0,46063
220059,55.01388012618297,3.0,87197
220060,55.03343848580442,11.0,87228
220061,52.647313156269306,29.0,85236
220063,5.391360412637009,14.0,8362
220066,5.377734877734878,3155.0,8357
220072,5.711926605504587,18.0,18678
220073,5.700458015267175,12905.0,18669
220074,55.935483870967744,1181.0,216750
220088,8.485519591141397,54.0,4981
220128,145.0,0.0,145
220179,63.57112002468374,58.0,1030170
220180,63.55720809676623,51.0,1029881
220181,63.540842118241784,40.0,1030696
220194,1.8676470588235294,1.0,127
220210,97.85898999756039,6303.0,1604496
220224,10.416147385532376,2.0,76892
220227,6.221543722520762,0.0,25471
220228,6.8983040161402185,9.0,109414
220235,10.41655377946356,3.0,76895
220245,8.779210925644916,14.0,11571
220274,3.079987353778059,1.0,19484
220277,96.41047555094316,115.0,1579300
220283,1.6666666666666667,0.0,5
220292,21.890402379834036,174.0,139814
220293,21.737410071942445,166.0,138989
220339,23.894353087185852,4505.0,154023
220545,6.908375314861461,2.0,109705
220546,6.04188745899571,0.0,95776
220580,1.2202898550724637,0.0,421
220581,2.4996725605762933,0.0,3817
220587,3.2139084507042255,0.0,29208
220602,7.371541501976284,0.0,117495
220603,1.043103448275862,0.0,847
220615,7.072468314719538,3.0,112721
220621,6.966771356783919,1.0,110911
220624,1.0368906455862978,0.0,787
220632,2.515771028037383,1.0,17228
220635,6.928548826023669,0.0,109478
220644,3.213468309859155,9.0,29204
220645,7.414528574117057,0.0,118195
220650,1.1038575667655786,0.0,744
220734,1.5360932336058446,0.0,8831
220765,92.4235294117647,141.0,7856
223679,3.0750756811301714,5.0,15237
223751,7.059129882502382,7.0,111146
223752,7.0626190778610445,16.0,111208
223761,22.759110064452155,34.0,367241
223762,44.99586288416076,6.0,76133
223763,3.8616187989556137,3.0,1479
223764,1.0952380952380953,0.0,92
223765,1.186046511627907,0.0,102
223766,1.1265822784810127,0.0,89
223767,6.885714285714286,2.0,482
223768,7.057142857142857,354.0,494
223769,8.945551864156515,21.0,145401
223770,8.984992003936524,15.0,146078
223771,7.41994750656168,2.0,2827
223772,48.00604229607251,6.0,47670
223773,9.211424332344214,18.0,12417
223775,145.0,0.0,145
223830,10.72347872913301,3.0,79654
223834,12.16030534351145,425.0,156114
223872,33.78583946722748,20.0,96391
223873,21.710732165206508,163.0,138775
223874,21.247130954252476,165.0,135153
223875,20.614463601532567,8.0,129129
223876,21.714978869932697,171.0,138737
223958,4.002079002079002,5.0,5775
223960,4.023288637967537,8.0,5701
224144,102.28511966701353,42.0,98296
224145,65.85414091470952,39719.0,53276
224149,107.3,157.0,103008
224150,107.39728884254431,29.0,102994
224151,107.31595411887383,2578.0,102916
224152,107.30135557872784,81.0,102902
224153,105.71835443037975,150.0,100221
224154,104.9133611691023,5474.0,100507
224161,8.860500892252784,4.0,143992
224162,8.858953846153845,49.0,143958
224166,8.181818181818182,0.0,180
224167,1.3687943262411348,1.0,386
224191,109.22651356993737,2165.0,104639
224309,42.75308641975309,0.0,10389
224310,43.045643153526974,0.0,10374
224311,43.02074688796681,3.0,10368
224314,1.5,0.0,3
224315,1.25,0.0,5
224317,1.25,0.0,5
224318,1.3333333333333333,0.0,4
224322,43.053941908713696,0.0,10376
224329,13.767507002801121,6.0,4915
224331,13.361702127659575,2900.0,3140
224359,1.9166666666666667,1.0,529
224363,2.0,2.0,2
224366,15.162393162393162,56.0,1774
224367,4.716666666666667,27.0,283
224404,30.843570057581573,141.0,32139
224406,30.92624521072797,323.0,32287
224411,4.985074626865671,291.0,334
224417,6.728318160038333,434.0,28084
224418,4.009433962264151,733.0,2125
224419,2.526315789473684,1.0,336
224420,2.04,14.0,102
224421,2.674811463046757,6.0,8867
224422,2.674804098854732,8.0,8875
224562,13.574580759046778,661.0,30760
224563,14.138820638820638,3984.0,11509
224639,8.255168093547713,181.0,79068
224643,1.2883211678832116,0.0,353
224645,1.105263157894737,0.0,105
224646,1.183673469387755,0.0,116
224647,1.1470588235294117,0.0,78
224652,42.27685950413223,0.0,10231
224654,42.439834024896264,0.0,10228
224659,145.0,0.0,145
224660,27.0,1.0,27
224661,7.149253731343284,57.0,3353
224662,4.943037974683544,8.0,4686
224684,14.084778420038536,586.0,80410
224685,23.914597970335674,839.0,153173
224686,13.98599594619495,1112.0,75902
224687,22.635051226327228,97.0,145815
224688,14.558593069824134,707.0,83610
224689,22.19139650872818,63160.0,142380
224690,20.802737140160453,378.0,132243
224691,21.584773470340963,59.0,46213
224695,22.0588327580797,768.0,140603
224696,9.954804405620965,110.0,52422
224697,22.57098137423697,858.0,144206
224700,9.352990033222591,85.0,45044
224701,13.8022917424518,761.0,75885
224702,3.34640522875817,27.0,1024
224704,4.923076923076923,0.0,128
224705,3.794392523364486,4.0,406
224706,3.970873786407767,124.0,409
224707,3.9029126213592233,2.0,402
224709,3.9405940594059405,2.0,398
224710,1.34375,2.0,86
224711,1.4027777777777777,0.0,101
224728,3.0,2.0,39
224738,12.86609356918499,117.0,77827
224746,7.628415300546448,152.0,1396
224747,7.6,18.0,1368
224749,10.903225806451612,40.0,338
224750,8.74074074074074,0.0,236
224751,10.534571062740078,906.0,16455
224752,3.5008319467554077,7.0,4208
224753,4.005917159763314,12.0,4739
224754,3.4174589455488333,9.0,3954
224755,4.041773231031543,24.0,4741
224828,10.411653116531165,15305.0,76838
224837,4.585149313962873,16.0,5681
224838,4.891213389121339,14.0,5845
224842,65.17846153846153,3.0,42366
224845,7.84065934065934,97.0,2854
224846,13.611994547932758,520.0,29960
224895,14.91686460807601,2163.0,6280
224896,13.877828054298643,1475.0,3067
224897,17.356521739130436,621.0,1996
224898,17.92982456140351,389.0,1022
224899,20.46153846153846,357.0,798
224900,12.705882352941176,52.0,216
224901,8.5,22.0,51
224916,14.889324960753532,195.0,18969
224917,16.711724137931036,124.0,12116
224918,17.586466165413533,40.0,7017
224919,18.739795918367346,101.0,3673
224920,19.708029197080293,66.0,2700
224921,19.644736842105264,35.0,1493
224922,17.9375,0.0,574
224951,15.090016366612112,143.0,18440
224952,16.77318116975749,138.0,11758
224953,17.3984375,39.0,6681
224954,18.603092783505154,24.0,3609
224955,20.189393939393938,61.0,2665
224956,19.644736842105264,35.0,1493
224957,17.0,0.0,578
225183,107.72594142259415,36434.0,102986
225309,52.775907883082375,6.0,59584
225310,52.90408525754884,6.0,59570
225312,51.68906115417743,44.0,60011
225612,3.196039163328883,0.0,28726
225624,7.058812452924931,0.0,112461
225625,6.604703319236191,2.0,103073
225628,2.322938322938323,2.0,3352
225634,2.241640586394334,0.0,13609
225636,1.220472440944882,0.0,310
225637,1.905140186915888,3396.0,4077
225638,1.897844827586207,1681.0,4403
225639,1.7720108695652175,4158.0,13042
225640,1.771875,3422.0,13041
225641,1.7720108695652175,125.0,13042
225642,1.7720108695652175,298.0,13042
225643,1.7721157766000815,34.0,13041
225651,2.0584307178631054,3.0,2466
225667,8.38670993227991,1.0,59445
225668,6.226706005520129,1.0,65424
225671,1.034965034965035,0.0,740
225672,2.1763019589106545,0.0,4555
225674,6.198372329603255,0.0,12186
225677,6.64203381147541,0.0,103722
225684,2.5584415584415585,0.0,1970
225690,3.2531756460797197,8.0,29708
225692,1.653061224489796,3.0,81
225693,1.3855013550135502,0.0,2045
225695,2.596774193548387,2.0,1127
225698,10.411924119241192,1.0,76840
225806,15.024291497975709,97.0,3711
225807,13.621722846441948,93.0,3637
225810,8.628712871287128,8.0,1743
225980,10.165898617511521,1.0,2206
226062,3.07547931382442,1.0,15239
226063,3.077683615819209,2.0,15253
