itemid,mean_frequency,total_count
226557,5.545454545454546,61
226558,2.0,12
226559,56.95613322502031,631017
226560,8.720088752346816,51091
226561,12.207006369426752,7666
226563,45.50847457627118,2685
226564,12.626262626262626,1250
226565,12.242424242424242,1212
226567,2.776261937244202,2035
226569,1.0,2
226570,2.3333333333333335,7
226571,1.9159420289855071,1983
226573,4.667539267015707,1783
226574,3.3703703703703702,91
226575,6.131495227995758,5782
226576,3.220216606498195,5352
226579,3.2170245398773005,4195
226580,4.371824480369515,3786
226582,10.71945701357466,4738
226583,3.0144144144144143,1673
226584,28.313253012048193,2350
226588,27.322125813449023,50382
226589,29.013651877133107,8501
226590,16.421965317919074,2841
226591,24.545454545454547,270
226592,26.23728813559322,3096
226593,14.129032258064516,1752
226595,14.1,141
226597,24.42063492063492,3077
226598,23.093457943925234,2471
226599,15.276089828269486,11564
226600,21.23404255319149,3992
226601,30.36842105263158,1731
226602,35.0,560
226603,10.202380952380953,857
226604,5.285714285714286,666
226605,6.071428571428571,85
226606,85.17073170731707,3492
226607,70.33333333333333,211
226608,8.666666666666666,260
226609,7.0,14
226610,57.74285714285714,2021
226612,5.930769230769231,771
226613,12.338645418326694,3097
226614,6.7368421052631575,128
226617,7.222222222222222,130
226618,13.0,52
226619,10.76978417266187,1497
226620,29.17391304347826,671
226621,3.0,9
226622,1.3333333333333333,4
226623,2.0,10
226624,5.0,5
226625,1.3644067796610169,322
226626,1.1854768153980753,1355
226627,1.117298037425833,2448
226628,1.0315789473684212,98
226629,1.0,34
226630,1.0303030303030303,34
226631,1.0327272727272727,284
226632,1.085820895522388,291
226633,1.2282471626733922,2922
227488,9.71957671957672,1837
227489,9.880434782608695,1818
227510,10.075613420130196,20121
227511,3.2936746987951806,2187
227701,10.195364238410596,3079
229413,30.470588235294116,518
