itemid,mean_frequency,total_count
221214,1.369111969111969,3546
221216,1.2454282964388836,1294
221217,1.2917362270450752,3095
221219,1.0,17
221223,1.176991150442478,532
221255,1.0906735751295338,421
223253,1.1063257065948855,822
224263,1.1390922401171304,5446
224264,1.0766045548654244,3120
224267,1.0805309734513275,1221
224268,1.0,148
224269,1.029100529100529,389
224270,1.1953488372093024,2827
224272,1.0614035087719298,242
224273,1.0,37
224274,1.2417240613197067,5589
224275,1.5818529652910631,17364
224276,1.0946896992962252,1711
224277,1.2628940772985093,9574
224385,1.1619919862621637,2030
224560,1.0500834724540902,1258
224566,1.0246913580246915,83
225199,1.0909090909090908,12
225202,1.0258620689655173,238
225203,1.04,26
225204,1.0343347639484979,482
225205,1.0,35
225315,1.035,207
225399,1.1056338028169015,157
225400,1.5747126436781609,1233
225401,1.8852185518852185,5650
225402,1.582408481033626,9553
225406,1.0,30
225427,1.107843137254902,113
225428,1.0,1
225429,1.0,6
225430,1.0867768595041323,263
225432,1.1363173957273651,3351
225433,1.165680473372781,197
225434,1.03,103
225436,1.268041237113402,123
225437,1.0666666666666667,16
225439,1.1081632653061224,543
225440,1.1075949367088607,175
225441,1.773686794305351,3613
225442,1.1,11
225443,1.162162162162162,129
225444,1.1687898089171975,367
225445,1.3160919540229885,229
225446,1.0119047619047619,85
225447,1.051948051948052,81
225448,1.0192307692307692,106
225449,1.0,3
225450,1.6,24
225451,1.3498293515358362,1582
225454,1.285501489572989,2589
225457,1.2136752136752136,568
225459,2.5827916524119057,15099
225460,1.0,9
225461,1.0,6
225462,1.140077821011673,586
225463,1.0,1
225464,2.268867924528302,481
225465,1.302325581395349,112
225466,1.1726190476190477,197
225467,1.2307692307692308,16
225468,1.0567375886524824,149
225469,1.161841480778358,2448
225470,1.2976190476190477,1090
225472,1.0,6
225474,1.0,14
225475,1.0,27
225476,1.0,13
225477,1.0,8
225479,1.1360544217687074,167
225752,1.196478220574606,6455
225789,1.158682634730539,387
225792,1.1348395194549041,6329
225794,1.164090368608799,979
225802,2.3066812705366924,2106
225805,4.433962264150943,705
225814,1.2056962025316456,762
225816,1.0588235294117647,108
225817,1.132183908045977,197
225819,1.0,4
225820,1.0,7
225821,1.0625,51
225966,1.033366533864542,2075
225967,1.0,19
226124,1.0666666666666667,32
226236,1.0,340
226237,1.0,2
226474,1.0,3
226475,1.1818181818181819,13
226476,1.0,33
226477,1.0294117647058822,35
227194,1.0858610567514677,4439
227550,1.0619469026548674,120
227551,2.1875,70
227711,1.0,48
227712,1.1091370558375635,874
227713,1.0,9
227714,1.0,8
227715,1.0,3
227719,1.0176470588235293,173
228125,1.2504708097928436,664
228126,1.1666666666666667,21
228127,1.1273584905660377,239
228128,1.560850439882698,2129
228129,2.049891540130152,3780
228130,1.0963855421686748,182
228136,1.0,32
228169,1.0681818181818181,47
228201,1.0909090909090908,12
228202,1.1,11
228228,1.8,9
228286,1.1043478260869566,127
228715,1.2,6
229298,1.0956521739130434,126
229351,1.1182730313165097,3678
229366,1.2424242424242424,82
229380,1.0129870129870129,78
229468,1.0465116279069768,45
229501,1.1515151515151516,38
229514,1.0,2
229515,1.0,1
229516,1.0779661016949154,318
229519,1.0,10
229523,1.0,4
229524,1.0,10
229525,1.0222222222222221,46
229526,1.0348432055749128,297
229527,1.0,2
229528,1.0,2
229529,1.1111111111111112,10
229530,1.0,9
229531,1.0526315789473684,60
229532,1.0461538461538462,136
229575,1.1097560975609757,91
229576,1.0,6
229577,1.0253164556962024,81
229578,1.0490196078431373,107
229579,1.0476190476190477,44
229580,1.2404761904761905,521
229581,2.1756393001345895,3233
229582,1.0909090909090908,48
229584,1.0,4
229585,1.0588235294117647,18
229586,1.2,12
229614,1.0432098765432098,169
229620,1.0,3
229755,1.0392156862745099,53
